,agency,amended_notice,amended_notice_date,comment_due_review_date,comment_letter_date,comment_letters,comment_letters_titles,contact_name,contact_phone,date_uploaded,document_type,eis_number,federal_register_date,rating,report_files,report_files_titles,report_link,state,supplemental_info,title,website
0,AFS,,,02/02/2015,,,,Lucas Phillips,541-947-2151,12/19/2014,Draft EIS; Draft EIS,20140367,12/19/2014,,../(EISDocs)/20140367/$file/20141211AntelopeDraftEIS.pdf?OpenElement||../(EISDocs)/20140367/$file/AppendixAMaps.pdf?OpenElement||../(EISDocs)/20140367/$file/AppendixBGlossary.pdf?OpenElement||../(EISDocs)/20140367/$file/AppendixCCumulativeEffects.pdf?OpenElement||../(EISDocs)/20140367/$file/AppendixDMonitoring.pdf?OpenElement,EIS Document: 20141211AntelopeDraftEIS.pdf||EIS Document: AppendixAMaps.pdf||EIS Document: AppendixBGlossary.pdf||EIS Document: AppendixCCumulativeEffects.pdf||EIS Document: AppendixDMonitoring.pdf,12/19/2014,OR, ,Antelope Grazing Allotments,
1,AFS,,,01/20/2015,,,,Karen Overcash,540-265-5175,12/19/2014,Final EIS; Final EIS,20140362,12/19/2014,,../(EISDocs)/20140362/$file/2014 GWNF FEIS Revised Forest Plan.pdf?OpenElement||../(EISDocs)/20140362/$file/2014 GWNF FEIS Appendices for the Revised Forest Plan.pdf?OpenElement,EIS Document: 2014 GWNF FEIS Revised Forest Plan.pdf||EIS Document: 2014 GWNF FEIS Appendices for the Revised Forest Plan.pdf,12/19/2014,VA, , Revised Land and Resource Management Plan for the George Washington National Forest,
2,APHIS,,,02/02/2015,,,,Kimberly K. Wagner,608-837-2727,12/19/2014,Draft EIS; Draft EIS,20140364,12/19/2014,,../(EISDocs)/20140364/$file/APHIS DEIS Feral Swine Damage Management - A National Approach.pdf?OpenElement,EIS Document: APHIS DEIS Feral Swine Damage Management - A National Approach.pdf,12/19/2014,00, ,Feral Swine Damage Management: A National Approach,
3,BLM,,,03/19/2015,,,,Tamara Gertsch,307-775-6115,12/19/2014,Draft EIS; Draft EIS,20140368,12/19/2014,,,,12/19/2014,OR, ,Land use Plan Amendments for the Boardman to Hemingway Transmission Line Project,
4,DOE,"Revision to FR Notice Published 12/19/2014; Correction to the Comment Period 
from 02/02/2015 to 03/19/2015",12/29/2014,03/19/2015,,,,"Jane Summerson, PhD",505-845-4091,12/19/2014,Draft EIS; Draft EIS,20140372,12/19/2014,,,,12/19/2014,00, ,Plains and Eastern Clean Line Transmission Project,
5,FHWA,,,02/02/2015,,,,Philip Forst,651-291-6100,12/19/2014,Draft EIS; Draft EIS,20140363,12/19/2014,,../(EISDocs)/20140363/$file/US 53 Draft EIS_Front Matter and Executive Summary.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 1_Purpose and Need.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 2_Alternatives.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 3_Transportation Analysis.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 4_Community and Social Analysis.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 5_Physical and Environmental Analysis.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 6_Indirect_Secondary Impacts.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 7_Cumulative Impacts.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 8_Consultation and Coordination.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 9_Cost Analysis.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Chapter 10_Comparison of Alternatives.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix A_Easement Documents.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix B_References.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix C_Correspondence.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix D_Taconite Production Tax.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix E_Economic and Business Supporting Documents.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix F_Mesabi Trail and OHVRA Information.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix G_Water Supply_Water Appropriation Supporting Documents.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix H_Noise Supporting Documents.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix I_Hazardous Materials and Contaminated Properties Supporting Documents.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix J_Water Resources Technical Report.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix K_Alternatives Development Report.pdf?OpenElement||../(EISDocs)/20140363/$file/US 53 Draft EIS_Appendix L_List of Preparers.pdf?OpenElement,EIS Document: US 53 Draft EIS_Front Matter and Executive Summary.pdf||EIS Document: US 53 Draft EIS_Chapter 1_Purpose and Need.pdf||EIS Document: US 53 Draft EIS_Chapter 2_Alternatives.pdf||EIS Document: US 53 Draft EIS_Chapter 3_Transportation Analysis.pdf||EIS Document: US 53 Draft EIS_Chapter 4_Community and Social Analysis.pdf||EIS Document: US 53 Draft EIS_Chapter 5_Physical and Environmental Analysis.pdf||EIS Document: US 53 Draft EIS_Chapter 6_Indirect_Secondary Impacts.pdf||EIS Document: US 53 Draft EIS_Chapter 7_Cumulative Impacts.pdf||EIS Document: US 53 Draft EIS_Chapter 8_Consultation and Coordination.pdf||EIS Document: US 53 Draft EIS_Chapter 9_Cost Analysis.pdf||EIS Document: US 53 Draft EIS_Chapter 10_Comparison of Alternatives.pdf||EIS Document: US 53 Draft EIS_Appendix A_Easement Documents.pdf||EIS Document: US 53 Draft EIS_Appendix B_References.pdf||EIS Document: US 53 Draft EIS_Appendix C_Correspondence.pdf||EIS Document: US 53 Draft EIS_Appendix D_Taconite Production Tax.pdf||EIS Document: US 53 Draft EIS_Appendix E_Economic and Business Supporting Documents.pdf||EIS Document: US 53 Draft EIS_Appendix F_Mesabi Trail and OHVRA Information.pdf||EIS Document: US 53 Draft EIS_Appendix G_Water Supply_Water Appropriation Supporting Documents.pdf||EIS Document: US 53 Draft EIS_Appendix H_Noise Supporting Documents.pdf||EIS Document: US 53 Draft EIS_Appendix I_Hazardous Materials and Contaminated Properties Supporting Documents.pdf||EIS Document: US 53 Draft EIS_Appendix J_Water Resources Technical Report.pdf||EIS Document: US 53 Draft EIS_Appendix K_Alternatives Development Report.pdf||EIS Document: US 53 Draft EIS_Appendix L_List of Preparers.pdf,12/19/2014,MN, ,US Highway 53 from Virginia to Eveleth,
6,FHWA,,,02/02/2015,,,,Michael Hicks,202-219-3513,12/19/2014,Draft Supplement; Draft Supplement,20140359,12/19/2014,,../(EISDocs)/20140359/$file/SCapSt_SDEIS_FINAL December 2014 Upload.pdf?OpenElement||../(EISDocs)/20140359/$file/SCS SDEIS Appendices A - F.pdf?OpenElement||../(EISDocs)/20140359/$file/SCS SDEIS Appendices G - H.pdf?OpenElement||../(EISDocs)/20140359/$file/SCS SDEIS Appendices I - M.pdf?OpenElement,EIS Document: SCapSt_SDEIS_FINAL December 2014 Upload.pdf||EIS Document: SCS SDEIS Appendices A - F.pdf||EIS Document: SCS SDEIS Appendices G - H.pdf||EIS Document: SCS SDEIS Appendices I - M.pdf,12/19/2014,DC, ,South Capitol Street,
7,HUD,,,02/17/2015,,,,Eugene Flannery,415-701-5598,12/19/2014,Draft EIS; Draft EIS,20140358,12/19/2014,,../(EISDocs)/20140358/$file/NOA_Sunnydale_2014_12_19_clean.pdf?OpenElement||../(EISDocs)/20140358/$file/Sunnydale-Velasco HOPE SF DEIR-EIS.pdf?OpenElement||../(EISDocs)/20140358/$file/Sunnydale-Velasco HOPE SF DEIR-EIS_Appendices.pdf?OpenElement,EIS Document: NOA_Sunnydale_2014_12_19_clean.pdf||EIS Document: Sunnydale-Velasco HOPE SF DEIR-EIS.pdf||EIS Document: Sunnydale-Velasco HOPE SF DEIR-EIS_Appendices.pdf,12/19/2014,CA, ,Sunnydale-Velasco HOPE SF Master Plan Project,
8,NOAA,,,01/20/2015,,,,Helene Scalliet,301-713-7281,12/19/2014,Final EIS; Final EIS,20140369,12/19/2014,,../(EISDocs)/20140369/$file/FEIS CB-GF Expansion - WEB normal-FINAL.pdf?OpenElement,EIS Document: FEIS CB-GF Expansion - WEB normal-FINAL.pdf,12/19/2014,CA, ,Cordell Bank and Gulf of the Farallones National Marine Sanctuaries Expansion,
9,NPS,,,01/20/2015,,,,Robert Mocko,202-690-5170,12/19/2014,Final EIS; Final EIS,20140366,12/19/2014,,,,12/19/2014,DC, ,Anacostia Park Wetlands and Resident Canada Goose Management Plan,
